Month,Date,Station ,Squid Tag,Squid Number,Sex,Mantle Length,Length Overall,Gladius Length 
1,1/7/2020,Anchorage,NA,NA,NA,NA,NA,NA
1,1/7/2020,Fort Johnson,20200107-2-1,1,F,5.6,19.7,5.7
1,1/7/2020,Fort Johnson,20200107-2-2,2,I,2.8,9.1,2.9
1,1/7/2020,Fort Johnson,20200107-2-3,3,M,2.9,7.5,3
1,1/7/2020,Fort Johnson,20200107-2-4,4,I,2.9,8.6,2.6
1,1/7/2020,Fort Johnson,20200107-2-5,5,I,2.5,6.9,2.3
1,1/7/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
1,1/7/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
2,2/19/2020,Anchorage,NA,NA,NA,NA,NA,NA
2,2/19/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
2,2/19/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
2,2/19/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
3,3/17/2020,Anchorage,NA,NA,NA,NA,NA,NA
3,3/17/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
3,3/17/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
3,3/17/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
4,4/22/2020,Anchorage,NA,NA,NA,NA,NA,NA
4,4/22/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
4,4/22/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
4,4/22/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
5,5/20/2020,Anchorage,NA,NA,NA,NA,NA,NA
5,5/21/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
5,5/22/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
5,5/23/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
6,6/19/2020,Anchorage,20200619-1-1,1,M,3.5,10.8,3.5
6,6/19/2020,Anchorage,20200619-1-2,2,M,4.1,12.5,4.1
6,6/19/2020,Anchorage,20200619-1-3,3,F,8.4,21.8,8.3
6,6/19/2020,Anchorage,20200619-1-4,4,M,3.3,9.3,3.1
6,6/19/2020,Anchorage,20200619-1-5,5,F,5,15.1,5
6,6/19/2020,Anchorage,20200619-1-6,6,F,4.1,13.4,4.4
6,6/19/2020,Anchorage,20200619-1-7,7,I,3.6,9.8,3.6
6,6/19/2020,Anchorage,20200619-1-8,8,F,5.7,18,5.7
6,6/19/2020,Anchorage,20200619-1-9,9,F,4.2,12.7,4.4
6,6/19/2020,Anchorage,20200619-1-10,10,M,4.4,12.5,4.5
6,6/19/2020,Anchorage,20200619-1-11,11,I,3.1,9.3,3.4
6,6/19/2020,Anchorage,20200619-1-12,12,M,4,11.3,4
6,6/19/2020,Anchorage,20200619-1-13,13,I,3,9.1,3.3
6,6/19/2020,Anchorage,20200619-1-14,14,I,3.6,10.7,3.6
6,6/19/2020,Anchorage,20200619-1-15,15,M,4.5,15.5,4.6
6,6/19/2020,Anchorage,20200619-1-16,16,F,4.9,15.5,4.9
6,6/19/2020,Anchorage,20200619-1-17,17,M,3.3,10.2,3.5
6,6/19/2020,Anchorage,20200619-1-18,18,M,3.8,11,3.9
6,6/19/2020,Anchorage,20200619-1-19,19,M,3.9,11.5,3.9
6,6/19/2020,Anchorage,20200619-1-20,20,I,3,9,3.1
6,6/19/2020,Anchorage,20200619-1-21,21,I,3.2,9.6,3.1
6,6/19/2020,Anchorage,20200619-1-22,22,M,3.6,10,3.5
6,6/19/2020,Anchorage,20200619-1-23,23,I,3.2,8.5,3.3
6,6/19/2020,Anchorage,20200619-1-24,24,I,3.4,10.5,3.6
6,6/19/2020,Fort Johnson,20200619-2-1,1,M,3.3,10.2,3.3
6,6/19/2020,Fort Johnson,20200619-2-2,2,M,4.1,11.2,3.3
6,6/19/2020,Fort Johnson,20200619-2-3,3,F,5.2,17.6,5.1
6,6/19/2020,Fort Johnson,20200619-2-4,4,I,3.2,9.1,3.2
6,6/19/2020,Fort Johnson,20200619-2-5,5,M,4.3,13.9,4.5
6,6/19/2020,Fort Johnson,20200619-2-6,6,I,3.2,10.6,3.3
6,6/19/2020,Fort Johnson,20200619-2-7,7,I,2.1,6.9,2.2
6,6/19/2020,Fort Johnson,20200619-2-8,8,F,5,16.4,5
6,6/19/2020,Fort Johnson,20200619-2-9,9,I,2.1,7.3,2.2
6,6/19/2020,Fort Johnson,20200619-2-10,10,I,2.4,8.4,2.4
6,6/19/2020,Fort Johnson,20200619-2-11,11,I,2.8,9.6,2.8
6,6/19/2020,Fort Johnson,20200619-2-12,12,M,4.7,14.2,4.6
6,6/19/2020,Fort Johnson,20200619-2-13,13,I,3,9.3,2.8
6,6/19/2020,Fort Johnson,20200619-2-14,14,I,2.6,9.1,2.8
6,6/19/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
6,6/19/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
7,7/22/2020,Anchorage,NA,NA,NA,NA,NA,NA
7,7/22/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
7,7/22/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
7,7/22/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
8,8/14/2020,Anchorage,NA,NA,NA,NA,NA,NA
8,8/14/2020,Fort Johnson,20200814-2-1,1,F,6,8.3,5.9
8,8/14/2020,Fort Johnson,20200814-2-2,2,M,3.5,10,3.4
8,8/14/2020,Fort Johnson,20200814-2-3,3,F,3.9,12.3,4.1
8,8/14/2020,Fort Johnson,20200814-2-4,4,I,2.6,8.2,2.7
8,8/14/2020,Fort Johnson,20200814-2-5,5,I,2.7,8.7,2.6
8,8/14/2020,Fort Johnson,20200814-2-6,6,F,5.3,17.5,5.4
8,8/14/2020,Fort Johnson,20200814-2-7,7,F,4.5,13.7,4.4
8,8/14/2020,Fort Johnson,20200814-2-8,8,F,4.2,11.9,4.4
8,8/14/2020,Fort Johnson,20200814-2-9,9,M,3.7,10.8,3.7
8,8/14/2020,Fort Johnson,20200814-2-10,10,I,2.7,8.5,2.7
8,8/14/2020,Fort Johnson,20200814-2-11,11,M,3.9,11.5,3.9
8,8/14/2020,Fort Johnson,20200814-2-12,12,I,2.6,7.9,2.8
8,8/14/2020,Fort Johnson,20200814-2-13,13,I,2.8,10.2,3
8,8/14/2020,Fort Johnson,20200814-2-14,14,F,3.6,12.7,3.7
8,8/14/2020,Fort Johnson,20200814-2-15,15,I,2.7,6.7,2.8
8,8/14/2020,Fort Johnson,20200814-2-16,16,I,2.7,8.8,2.8
8,8/14/2020,Fort Johnson,20200814-2-17,17,I,2.5,7.4,2.5
8,8/14/2020,Fort Johnson,20200814-2-18,18,F,2.6,8.1,2.9
8,8/14/2020,Fort Johnson,20200814-2-19,19,F,5.2,13.6,5.3
8,8/14/2020,Fort Johnson,20200814-2-20,20,I,2.3,7.8,2.5
8,8/14/2020,Fort Johnson,20200814-2-21,21,I,2.2,6.1,2.4
8,8/14/2020,Fort Johnson,20200814-2-22,22,I,1.9,5.6,1.9
8,8/14/2020,Lower Ashley,20200814-3-1,1,M,3.8,8.3,3.9
8,8/14/2020,Lower Ashley,20200814-3-2,2,I,2.4,6.3,2.9
8,8/14/2020,Lower Ashley,20200814-3-3,3,F,6.2,20,6.1
8,8/14/2020,Lower Ashley,20200814-3-4,4,I,3.1,10.7,3.3
8,8/14/2020,Lower Ashley,20200814-3-5,5,F,3.6,13.4,3.5
8,8/14/2020,Lower Ashley,20200814-3-6,6,F,6.1,19.2,6
8,8/14/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
9,9/14/2020,Anchorage,20200914-1-1,1,F,8.4,22.3,8.4
9,9/14/2020,Anchorage,20200914-1-2,2,M,4.1,6.4,4.1
9,9/14/2020,Anchorage,20200914-1-3,3,I,3,8,2.8
9,9/14/2020,Anchorage,20200914-1-4,4,F,3.6,10.9,3.6
9,9/14/2020,Anchorage,20200914-1-5,5,M,4.1,11.3,4.1
9,9/14/2020,Anchorage,20200914-1-6,6,I,3.2,9.4,3.3
9,9/14/2020,Anchorage,20200914-1-7,7,I,3.2,9.6,3.2
9,9/14/2020,Anchorage,20200914-1-8,8,I,3,8.6,3
9,9/14/2020,Fort Johnson,20200914-2-1,1,F,4.9,15,5.1
9,9/14/2020,Fort Johnson,20200914-2-2,2,F,3,8.5,3.1
9,9/14/2020,Fort Johnson,20200914-2-3,3,F,4.3,14.5,4.5
9,9/14/2020,Fort Johnson,20200914-2-4,4,M,3.5,8.5,3.5
9,9/14/2020,Fort Johnson,20200914-2-5,5,F,4.5,12.9,4.6
9,9/14/2020,Fort Johnson,20200914-2-6,6,F,3.4,9.6,3.5
9,9/14/2020,Fort Johnson,20200914-2-7,7,F,4.2,11.5,4.2
9,9/14/2020,Fort Johnson,20200914-2-8,8,F,4.6,13,4.5
9,9/14/2020,Fort Johnson,20200914-2-9,9,I,2.6,8.5,2.6
9,9/14/2020,Fort Johnson,20200914-2-10,10,M,4,11.2,3.9
9,9/14/2020,Fort Johnson,20200914-2-11,11,F,2.8,8.6,2.8
9,9/14/2020,Fort Johnson,20200914-2-12,12,M,3.3,9.4,3.5
9,9/14/2020,Fort Johnson,20200914-2-13,13,F,2.3,8.1,2.5
9,9/14/2020,Fort Johnson,20200914-2-14,14,I,2.3,8.1,2.5
9,9/14/2020,Fort Johnson,20200914-2-15,15,I,2.1,6.1,2
9,9/14/2020,Fort Johnson,20200914-2-16,16,M,3.7,10.1,3.8
9,9/14/2020,Fort Johnson,20200914-2-17,17,F,4.2,11.6,4.1
9,9/14/2020,Fort Johnson,20200914-2-18,18,M,3.1,10.1,3.1
9,9/14/2020,Fort Johnson,20200914-2-19,19,I,2.7,8.6,2.7
9,9/14/2020,Fort Johnson,20200914-2-20,20,F,3.1,10.5,3.1
9,9/14/2020,Fort Johnson,20200914-2-21,21,F,3.6,10.9,3.6
9,9/14/2020,Fort Johnson,20200914-2-22,22,I,2.3,7.9,2.3
9,9/14/2020,Fort Johnson,20200914-2-23,23,M,3.3,10,3.3
9,9/14/2020,Fort Johnson,20200914-2-24,24,F,2.9,8.8,3.3
9,9/14/2020,Fort Johnson,20200914-2-25,25,F,2.6,7.8,2.7
9,9/14/2020,Fort Johnson,20200914-2-26,26,I,3,6.5,3.1
9,9/14/2020,Fort Johnson,20200914-2-27,27,I,2.9,9.1,2.7
9,9/14/2020,Fort Johnson,20200914-2-28,28,M,3.4,10.6,3.3
9,9/14/2020,Fort Johnson,20200914-2-29,29,I,2.6,8.1,2.5
9,9/14/2020,Fort Johnson,20200914-2-30,30,M,3.1,8.3,3
9,9/14/2020,Fort Johnson,20200914-2-31,31,F,6.4,17.9,6.4
9,9/14/2020,Fort Johnson,20200914-2-32,32,F,7,19,6.9
9,9/14/2020,Fort Johnson,20200914-2-33,33,F,7,18,7
9,9/14/2020,Fort Johnson,20200914-2-34,34,F,7.1,18.9,6.9
9,9/14/2020,Fort Johnson,20200914-2-35,35,F,6.5,18.9,6.7
9,9/14/2020,Fort Johnson,20200914-2-36,36,F,6,17.7,6
9,9/14/2020,Fort Johnson,20200914-2-37,37,F,6.7,18.2,6.6
9,9/14/2020,Fort Johnson,20200914-2-38,38,F,5,14.6,4.7
9,9/14/2020,Fort Johnson,20200914-2-39,39,F,4.1,12.1,4.1
9,9/14/2020,Fort Johnson,20200914-2-40,40,F,4.4,13.6,4.4
9,9/14/2020,Fort Johnson,20200914-2-41,41,F,3.3,10.1,3.4
9,9/14/2020,Fort Johnson,20200914-2-42,42,F,6.7,18.9,6.5
9,9/14/2020,Fort Johnson,20200914-2-43,43,F,4.9,15.7,5.1
9,9/14/2020,Fort Johnson,20200914-2-44,44,F,3.9,13.1,4.1
9,9/14/2020,Fort Johnson,20200914-2-45,45,M,4.1,11.6,4
9,9/14/2020,Fort Johnson,20200914-2-46,46,F,3.9,12.5,4
9,9/14/2020,Fort Johnson,20200914-2-47,47,F,3.6,12.7,3.1
9,9/14/2020,Fort Johnson,20200914-2-48,48,F,4,11.9,4
9,9/14/2020,Fort Johnson,20200914-2-49,49,M,3.4,10.4,3.4
9,9/14/2020,Fort Johnson,20200914-2-50,50,F,4.3,12.8,4.3
9,9/14/2020,Fort Johnson,20200914-2-51,51,I,2.9,8.6,2.8
9,9/14/2020,Fort Johnson,20200914-2-52,52,M,3.2,10.5,3.1
9,9/14/2020,Fort Johnson,20200914-2-53,53,M,4.5,12.5,4.6
9,9/14/2020,Fort Johnson,20200914-2-54,54,F,4.8,15.2,4.5
9,9/14/2020,Fort Johnson,20200914-2-55,55,F,3.6,10.7,3.6
9,9/14/2020,Fort Johnson,20200914-2-56,56,F,3.5,11.5,3.7
9,9/14/2020,Fort Johnson,20200914-2-57,57,F,3.7,11,3.8
9,9/14/2020,Fort Johnson,20200914-2-58,58,M,2.9,9.5,2.9
9,9/14/2020,Fort Johnson,20200914-2-59,59,I,2.6,8.6,2.7
9,9/14/2020,Fort Johnson,20200914-2-60,60,F,4.5,13.7,4.5
9,9/14/2020,Fort Johnson,20200914-2-61,61,M,3.1,9.3,3.1
9,9/14/2020,Fort Johnson,20200914-2-62,62,F,4.4,14,4.5
9,9/14/2020,Fort Johnson,20200914-2-63,63,M,4.1,13.5,4.1
9,9/14/2020,Fort Johnson,20200914-2-64,64,F,3,10.1,3.1
9,9/14/2020,Fort Johnson,20200914-2-65,65,M,4.1,13.5,4.1
9,9/14/2020,Fort Johnson,20200914-2-66,66,M,3.5,12.2,3.8
9,9/14/2020,Fort Johnson,20200914-2-67,67,M,3.3,11.9,3.3
9,9/14/2020,Fort Johnson,20200914-2-68,68,I,2.5,8,2.7
9,9/14/2020,Fort Johnson,20200914-2-69,69,F,5.3,17.9,5.4
9,9/14/2020,Fort Johnson,20200914-2-70,70,F,4.7,14,4.7
9,9/14/2020,Fort Johnson,20200914-2-71,71,I,2.5,7.4,2.5
9,9/14/2020,Fort Johnson,20200914-2-72,72,I,2.4,8.2,2.4
9,9/14/2020,Fort Johnson,20200914-2-73,73,F,4.2,14.7,4.2
9,9/14/2020,Fort Johnson,20200914-2-74,74,M,3.4,11,3.5
9,9/14/2020,Fort Johnson,20200914-2-75,75,I,2.8,10.5,3
9,9/14/2020,Fort Johnson,20200914-2-76,76,I,2.3,7.9,NA
9,9/14/2020,Fort Johnson,20200914-2-77,77,M,3,9.7,3
9,9/14/2020,Fort Johnson,20200914-2-78,78,M,3,8.6,3
9,9/14/2020,Fort Johnson,20200914-2-79,79,M,3.9,13.1,3.9
9,9/14/2020,Fort Johnson,20200914-2-80,80,F,3.8,12.8,3.7
9,9/14/2020,Fort Johnson,20200914-2-81,81,M,3.1,10.2,3.1
9,9/14/2020,Fort Johnson,20200914-2-82,82,I,2.3,6.8,2.3
9,9/14/2020,Fort Johnson,20200914-2-83,83,M,3.5,12.6,3.5
9,9/14/2020,Fort Johnson,20200914-2-84,84,M,3.8,11.6,3.7
9,9/14/2020,Fort Johnson,20200914-2-85,85,F,4,13.9,4.1
9,9/14/2020,Fort Johnson,20200914-2-86,86,I,2.7,8.8,2.9
9,9/14/2020,Fort Johnson,20200914-2-87,87,M,3.5,10.9,3.4
9,9/14/2020,Fort Johnson,20200914-2-88,88,M,2.9,8.5,2.8
9,9/14/2020,Fort Johnson,20200914-2-89,89,F,3.4,10.9,3.4
9,9/14/2020,Fort Johnson,20200914-2-90,90,F,3,9.9,3.2
9,9/14/2020,Fort Johnson,20200914-2-91,91,F,3.2,10.6,3.2
9,9/14/2020,Fort Johnson,20200914-2-92,92,M,2.9,10,2.9
9,9/14/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
9,9/14/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
10,10/13/2020,Anchorage,20201013-1-1,1,I,2.6,7.4,2.6
10,10/13/2020,Anchorage,20201013-1-2,2,F,3.3,12,3.3
10,10/13/2020,Anchorage,20201013-1-3,3,F,4.5,13.6,4.7
10,10/13/2020,Anchorage,20201013-1-4,4,F,3.7,11.4,3.7
10,10/13/2020,Anchorage,20201013-1-5,5,F,7,19.7,6.7
10,10/13/2020,Anchorage,20201013-1-6,6,F,4,12.4,4.1
10,10/13/2020,Anchorage,20201013-1-7,7,M,3.7,11.2,3.8
10,10/13/2020,Anchorage,20201013-1-8,8,M,3.6,12.1,3.7
10,10/13/2020,Anchorage,20201013-1-9,9,F,7.7,20.5,7.4
10,10/13/2020,Anchorage,20201013-1-10,10,F,5.5,16.2,5.6
10,10/13/2020,Anchorage,20201013-1-11,11,M,4.6,14.3,4.4
10,10/13/2020,Anchorage,20201013-1-12,12,F,4.2,12.4,4.4
10,10/13/2020,Anchorage,20201013-1-13,13,I,3.2,10.3,3.5
10,10/13/2020,Anchorage,20201013-1-14,14,M,3.7,11.7,3.7
10,10/13/2020,Anchorage,20201013-1-15,15,F,5.5,16.3,5.7
10,10/13/2020,Anchorage,20201013-1-16,16,I,3.2,10,3.2
10,10/13/2020,Anchorage,20201013-1-17,17,I,3,9.3,3.1
10,10/13/2020,Anchorage,20201013-1-18,18,M,3.7,11.2,3.7
10,10/13/2020,Anchorage,20201013-1-19,19,M,4.2,13,4.2
10,10/13/2020,Anchorage,20201013-1-20,20,F,5.6,17.1,5.6
10,10/13/2020,Anchorage,20201013-1-21,21,M,3.8,13.7,3.8
10,10/13/2020,Anchorage,20201013-1-22,22,M,3.3,11.2,3.5
10,10/13/2020,Anchorage,20201013-1-23,23,I,3,10.7,3
10,10/13/2020,Anchorage,20201013-1-24,24,M,3.7,10.4,3.6
10,10/13/2020,Anchorage,20201013-1-25,25,M,4,12,4
10,10/13/2020,Anchorage,20201013-1-26,26,M,3.9,11.4,3.9
10,10/13/2020,Anchorage,20201013-1-27,27,I,3.1,9.3,3.2
10,10/13/2020,Anchorage,20201013-1-28,28,M,3.8,12.8,3.8
10,10/13/2020,Anchorage,20201013-1-29,29,I,2.8,9.5,3
10,10/13/2020,Anchorage,20201013-1-30,30,I,3.3,10.7,3.4
10,10/13/2020,Anchorage,20201013-1-31,31,I,2.5,7,2.3
10,10/13/2020,Anchorage,20201013-1-32,32,I,2.9,8.2,2.9
10,10/13/2020,Anchorage,20201013-1-33,33,I,2.7,8,2.7
10,10/13/2020,Anchorage,20201013-1-34,34,M,3.4,9.6,3.3
10,10/13/2020,Anchorage,20201013-1-35,35,I,2.8,7.8,2.8
10,10/13/2020,Anchorage,20201013-1-36,36,I,2.9,9.2,3
10,10/13/2020,Anchorage,20201013-1-37,37,M,3.5,11.5,3.5
10,10/13/2020,Anchorage,20201013-1-38,38,I,3.1,10.1,3.1
10,10/13/2020,Fort Johnson,20201013-2-1,1,F,6.2,18.6,6.2
10,10/13/2020,Fort Johnson,20201013-2-2,2,F,5.6,17,5.6
10,10/13/2020,Fort Johnson,20201013-2-3,3,F,3.8,13.2,3.8
10,10/13/2020,Fort Johnson,20201013-2-4,4,F,4.5,13.4,4.5
10,10/13/2020,Fort Johnson,20201013-2-5,5,I,2.2,8.1,2.1
10,10/13/2020,Fort Johnson,20201013-2-6,6,I,2.5,7.9,2.4
10,10/13/2020,Lower Ashley,20201013-3-1,1,F,3.6,12.6,3.6
10,10/13/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
11,11/16/2020,Anchorage,20201116-1-1,1,F,4.3,14.5,4.2
11,11/16/2020,Anchorage,20201116-1-2,2,F,3.5,11.9,3.6
11,11/16/2020,Anchorage,20201116-1-3,3,F,3.6,11.1,3.6
11,11/16/2020,Anchorage,20201116-1-4,4,F,5,15,4.7
11,11/16/2020,Anchorage,20201116-1-5,5,F,5,16.3,5
11,11/16/2020,Anchorage,20201116-1-6,6,I,2.6,9.8,2.8
11,11/16/2020,Fort Johnson,20201116-2-1,1,M,5.4,19.5,5.4
11,11/16/2020,Fort Johnson,20201116-2-2,2,M,4.5,17,5
11,11/16/2020,Fort Johnson,20201116-2-3,3,F,3.7,14.9,3.7
11,11/16/2020,Fort Johnson,20201116-2-4,4,M,3.7,13,3.6
11,11/16/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
11,11/16/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
12,12/11/2020,Anchorage,20201211-1-1,1,I,3.3,10.6,3.3
12,12/11/2020,Anchorage,20201211-1-2,2,I,2.4,6.4,2.4
12,12/11/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
12,12/11/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
12,12/11/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
