TAG,Month,Date,Station ,Squid,Sex,Gladius length  ,Gladius lengthmm,Core to Dome,Core to Rostrum,Age Count 1,Age Count 2,Age Count 3,Average Age Count,Birthdate
20200107-2-1,January,1/7/2020,Fort Johnson,1,F,5.7,57,428.216,578.98,,,,,
20200107-2-2,January,1/7/2020,Fort Johnson,2,I,2.9,29,330.503,497.478,,,,,
20200107-2-3,January,1/7/2020,Fort Johnson,3,M,3,30,327.056,500.83,,,,,
20200107-2-4,January,1/7/2020,Fort Johnson,4,I,2.6,26,337.763,488.015,,,,,
20200107-2-5,January,1/7/2020,Fort Johnson,5,I,2.3,23,306.306,413.814,,,,,
20200619-1-1,June,6/19/2020,Anchorage,1,M,3.5,35,308.496,510.858,,,,,
20200619-1-2,June,6/19/2020,Anchorage,2,M,4.1,41,364.868,555.861,,,,,
20200619-1-3,June,6/19/2020,Anchorage,3,F,8.3,83,481.308,718.323,,,,,
20200619-1-4,June,6/19/2020,Anchorage,4,M,3.1,31,304.328,467.163,,,,,
20200619-1-5,June,6/19/2020,Anchorage,5,F,5,50,350.95,541.66,,,,,
20200619-1-6,June,6/19/2020,Anchorage,6,F,4.4,44,345.035,526.526,,,,,
20200619-1-7,June,6/19/2020,Anchorage,7,I,3.6,36,314.382,477.197,,,,,
20200619-1-8,June,6/19/2020,Anchorage,8,F,5.7,57,360.836,551.595,,,,,
20200619-1-9,June,6/19/2020,Anchorage,9,F,4.4,44,361.035,534.411,,,,,
20200619-1-10,June,6/19/2020,Anchorage,10,M,4.5,45,349.412,557.29,,,,,
20200619-1-11,June,6/19/2020,Anchorage,11,I,3.4,34,307.167,494.368,,,,,
20200619-1-12,June,6/19/2020,Anchorage,12,M,4,40,317.278,494.16,,,,,
20200619-1-13,June,6/19/2020,Anchorage,13,I,3.3,33,286.231,455.739,,,,,
20200619-1-14,June,6/19/2020,Anchorage,14,I,3.6,36,330.073,486.946,,,,,
20200619-1-15,June,6/19/2020,Anchorage,15,M,4.6,46,342.576,533.042,,,,,
20200619-1-16,June,6/19/2020,Anchorage,16,F,4.9,49,350.243,561.279,,,,,
20200619-1-17,June,6/19/2020,Anchorage,17,M,3.5,35,312.35,512.818,,,,,
20200619-1-18,June,6/19/2020,Anchorage,18,M,3.9,39,306.666,512.746,,,,,
20200619-1-19,June,6/19/2020,Anchorage,19,M,3.9,39,325.695,518.947,,,,,
20200619-1-20,June,6/19/2020,Anchorage,20,I,3.1,31,324.796,466.289,,,,,
20200619-1-21,June,6/19/2020,Anchorage,21,I,3.1,31,314.027,468.241,,,,,
20200619-1-22,June,6/19/2020,Anchorage,22,M,3.5,35,317.587,509.776,,,,,
20200619-1-23,June,6/19/2020,Anchorage,23,I,3.3,33,300.851,498.222,,,,,
20200619-1-24,June,6/19/2020,Anchorage,24,I,3.6,36,302.136,475.336,,,,,
20200619-2-1,June,6/19/2020,Fort Johnson,1,M,3.3,33,312.397,465.891,,,,,
20200619-2-2,June,6/19/2020,Fort Johnson,2,M,3.3,33,322.082,482.662,,,,,
20200619-2-3,June,6/19/2020,Fort Johnson,3,F,5.1,51,368.972,466.39,,,,,
20200619-2-4,June,6/19/2020,Fort Johnson,4,I,3.2,32,307.613,461.766,,,,,
20200619-2-5,June,6/19/2020,Fort Johnson,5,M,4.5,45,357.618,519.143,,,,,
20200619-2-6,June,6/19/2020,Fort Johnson,6,I,3.3,33,315.072,477.74,,,,,
20200619-2-7,June,6/19/2020,Fort Johnson,7,I,2.2,22,277.944,398.581,,,,,
20200619-2-8,June,6/19/2020,Fort Johnson,8,F,5,50,360.689,559.378,,,,,
20200619-2-9,June,6/19/2020,Fort Johnson,9,I,2.2,22,256.855,414.248,,,,,
20200619-2-10,June,6/19/2020,Fort Johnson,10,I,2.4,24,280.909,437.061,,,,,
20200619-2-11,June,6/19/2020,Fort Johnson,11,I,2.8,28,296.823,417.451,,,,,
20200619-2-12,June,6/19/2020,Fort Johnson,12,M,4.6,46,356.491,553.694,,,,,
20200619-2-13,June,6/19/2020,Fort Johnson,13,I,2.8,28,293.728,446.524,,,,,
20200619-2-14,June,6/19/2020,Fort Johnson,14,I,2.8,28,307.894,467.232,,,,,
20200814-2-1,August,8/14/2020,Fort Johnson,1,F,5.9,59,379.76,564.706,,,,,
20200814-2-2,August,8/14/2020,Fort Johnson,2,M,3.4,34,318.34,472.52,,,,,
20200814-2-3,August,8/14/2020,Fort Johnson,3,F,4.1,41,349.663,477.293,,,,,
20200814-2-4,August,8/14/2020,Fort Johnson,4,I,2.7,27,300.817,423.197,,,,,
20200814-2-5,August,8/14/2020,Fort Johnson,5,I,2.6,26,302.712,420.695,,,,,
20200814-2-6,August,8/14/2020,Fort Johnson,6,F,5.4,54,371.833,540.069,,,,,
20200814-2-7,August,8/14/2020,Fort Johnson,7,F,4.4,44,313.211,514.069,,,,,
20200814-2-8,August,8/14/2020,Fort Johnson,8,F,4.4,44,342.052,502.209,,,,,
20200814-2-9,August,8/14/2020,Fort Johnson,9,M,3.7,37,330.604,485.055,,,,,
20200814-2-10,August,8/14/2020,Fort Johnson,10,I,2.7,27,286.565,444.586,,,,,
20200814-2-11,August,8/14/2020,Fort Johnson,11,M,3.9,39,329.9,490.582,,,,,
20200814-2-12,August,8/14/2020,Fort Johnson,12,I,2.8,28,290.03,454.028,,,,,
20200814-2-13,August,8/14/2020,Fort Johnson,13,I,3,30,307.143,448.577,,,,,
20200814-2-14,August,8/14/2020,Fort Johnson,14,F,3.7,37,331.184,510.682,,,,,
20200814-2-15,August,8/14/2020,Fort Johnson,15,I,2.8,28,284.746,432.2,,,,,
20200814-2-16,August,8/14/2020,Fort Johnson,16,I,2.8,28,283.75,477.757,,,,,
20200814-2-17,August,8/14/2020,Fort Johnson,17,I,2.5,25,287.155,448.058,,,,,
20200814-2-18,August,8/14/2020,Fort Johnson,18,F,2.9,29,293.749,438.721,,,,,
20200814-2-19,August,8/14/2020,Fort Johnson,19,F,5.3,53,343.886,555.893,,,,,
20200814-2-20,August,8/14/2020,Fort Johnson,20,I,2.5,25,272.663,434.581,,,,,
20200814-2-21,August,8/14/2020,Fort Johnson,21,I,2.4,24,262.299,434.388,,,,,
20200814-2-22,August,8/14/2020,Fort Johnson,22,I,1.9,19,261.404,388.087,,,,,
20200814-3-1,August,8/14/2020,Lower Ashley,1,M,3.9,39,322.268,419.376,,,,,
20200814-3-2,August,8/14/2020,Lower Ashley,2,I,2.9,29,275.027,451.472,,,,,
20200814-3-3,August,8/14/2020,Lower Ashley,3,F,6.1,61,396.844,562.159,,,,,
20200814-3-4,August,8/14/2020,Lower Ashley,4,I,3.3,33,311.968,475.871,,,,,
20200814-3-5,August,8/14/2020,Lower Ashley,5,F,3.5,35,312.614,473.718,,,,,
20200814-3-6,August,8/14/2020,Lower Ashley,6,F,6,60,370.198,589.298,,,,,
20200914-1-1,September,9/14/2020,Anchorage,1,F,8.4,84,459.516,629.231,122,133,131,128.6666667,5/8/2020
20200914-1-2,September,9/14/2020,Anchorage,2,M,4.1,41,353.388,518.496,109,103,108,106.6666667,5/30/2020
20200914-1-3,September,9/14/2020,Anchorage,3,I,2.8,28,313.937,435.99,78,80,80,79.33333333,6/26/2020
20200914-1-4,September,9/14/2020,Anchorage,4,F,3.6,36,332.637,507.455,96,85,102,94.33333333,6/11/2020
20200914-1-5,September,9/14/2020,Anchorage,5,M,4.1,41,360.58,481.347,103,104,111,106,5/31/2020
20200914-1-6,September,9/14/2020,Anchorage,6,I,3.3,33,318.737,467.236,90,88,91,89.66666667,6/16/2020
20200914-1-7,September,9/14/2020,Anchorage,7,I,3.2,32,318.266,466.5,105,94,92,97,6/9/2020
20200914-1-8,September,9/14/2020,Anchorage,8,I,3.0,30,290.471,461.088,86,86,84,85.33333333,6/20/2020
20200914-2-1,September,9/14/2020,Fort Johnson,1,F,5.1,51,345.134,NA,118,120,115,117.6666667,5/19/2020
20200914-2-2,September,9/14/2020,Fort Johnson,2,F,3.1,31,307.905,468.948,85,80,87,84,6/22/2020
20200914-2-3,September,9/14/2020,Fort Johnson,3,F,4.5,45,365.363,521.836,113,109,115,112.3333333,5/24/2020
20200914-2-4,September,9/14/2020,Fort Johnson,4,M,3.5,35,305.238,477.474,86,104,94,94.66666667,6/11/2020
20200914-2-5,September,9/14/2020,Fort Johnson,5,F,4.6,46,359.273,505.851,118,115,110,114.3333333,5/22/2020
20200914-2-6,September,9/14/2020,Fort Johnson,6,F,3.5,35,314.671,493.514,84,97,99,93.33333333,6/12/2020
20200914-2-7,September,9/14/2020,Fort Johnson,7,F,4.2,42,323.119,NA,101,110,108,106.3333333,5/30/2020
20200914-2-8,September,9/14/2020,Fort Johnson,8,F,4.5,45,331.167,529.112,104,117,115,112,5/25/2020
20200914-2-9,September,9/14/2020,Fort Johnson,9,I,2.6,26,286.497,401.921,78,82,76,78.66666667,6/27/2020
20200914-2-10,September,9/14/2020,Fort Johnson,10,M,3.9,39,340.235,507.967,104,106,101,103.6666667,6/2/2020
20200914-2-11,September,9/14/2020,Fort Johnson,11,F,2.8,28,295.046,449.795,81,80,76,79,6/27/2020
20200914-2-12,September,9/14/2020,Fort Johnson,12,M,3.5,35,333.64,458.881,95,95,99,96.33333333,6/9/2020
20200914-2-13,September,9/14/2020,Fort Johnson,13,F,2.5,25,320.426,491.365,87,88,97,90.66666667,6/15/2020
20200914-2-14,September,9/14/2020,Fort Johnson,14,I,2.5,25,300.876,433.982,80,78,79,79,6/27/2020
20200914-2-15,September,9/14/2020,Fort Johnson,15,I,2,20,256.932,385.899,65,72,67,68,7/8/2020
20200914-2-16,September,9/14/2020,Fort Johnson,16,M,3.8,38,347.565,510.997,108,93,89,96.66666667,6/9/2020
20200914-2-17,September,9/14/2020,Fort Johnson,17,F,4.1,41,338.098,496.527,105,109,106,106.6666667,5/30/2020
20200914-2-18,September,9/14/2020,Fort Johnson,18,M,3.1,31,317.9,475.129,92,83,88,87.66666667,6/18/2020
20200914-2-19,September,9/14/2020,Fort Johnson,19,I,2.7,27,282.206,458.16,88,81,80,83,6/23/2020
20200914-2-20,September,9/14/2020,Fort Johnson,20,F,3.1,31,332.827,438.982,84,91,77,84,6/22/2020
20200914-2-21,September,9/14/2020,Fort Johnson,21,F,3.6,36,320.187,487.184,95,97,94,95.33333333,6/10/2020
20200914-2-22,September,9/14/2020,Fort Johnson,22,I,2.3,23,291.601,429.017,73,75,76,74.66666667,7/1/2020
20200914-2-23,September,9/14/2020,Fort Johnson,23,M,3.3,33,307.63,456.323,96,92,89,92.33333333,6/13/2020
20200914-2-24,September,9/14/2020,Fort Johnson,24,F,3.3,33,307.96,467.056,93,95,91,93,6/13/2020
20200914-2-25,September,9/14/2020,Fort Johnson,25,F,2.7,27,308.87,435.304,77,81,83,80.33333333,6/25/2020
20200914-2-26,September,9/14/2020,Fort Johnson,26,I,3.1,31,330.981,453.835,84,83,88,85,6/21/2020
20200914-2-27,September,9/14/2020,Fort Johnson,27,I,2.7,27,302.259,463.459,81,85,81,82.33333333,6/23/2020
20200914-2-28,September,9/14/2020,Fort Johnson,28,M,3.3,33,296.198,466.353,92,88,101,93.66666667,6/12/2020
20200914-2-29,September,9/14/2020,Fort Johnson,29,I,2.5,25,294.034,435.043,77,82,82,80.33333333,6/25/2020
20200914-2-30,September,9/14/2020,Fort Johnson,30,M,3,30,306.802,436.244,82,79,79,80,6/26/2020
20200914-2-31,September,9/14/2020,Fort Johnson,31,F,6.4,64,386.882,552.605,121,125,118,121.3333333,5/15/2020
20200914-2-32,September,9/14/2020,Fort Johnson,32,F,6.9,69,382.262,579.229,129,121,120,123.3333333,5/13/2020
20200914-2-33,September,9/14/2020,Fort Johnson,33,F,7,70,384.724,572.018,122,125,126,124.3333333,5/12/2020
20200914-2-34,September,9/14/2020,Fort Johnson,34,F,6.9,69,411.937,575.511,125,123,117,121.6666667,5/15/2020
20200914-2-35,September,9/14/2020,Fort Johnson,35,F,6.7,67,392.19,622.936,121,114,126,120.3333333,5/16/2020
20200914-2-36,September,9/14/2020,Fort Johnson,36,F,6,60,371.795,563.683,114,110,124,116,5/21/2020
20200914-2-37,September,9/14/2020,Fort Johnson,37,F,6.6,66,377.859,550.519,124,116,121,120.3333333,5/16/2020
20200914-2-38,September,9/14/2020,Fort Johnson,38,F,4.7,47,329.889,543.319,111,113,127,117,5/20/2020
20200914-2-39,September,9/14/2020,Fort Johnson,39,F,4.1,41,333.926,498.008,105,102,108,105,6/1/2020
20200914-2-40,September,9/14/2020,Fort Johnson,40,F,4.4,44,336.11,484.325,104,108,109,107,5/30/2020
20200914-2-41,September,9/14/2020,Fort Johnson,41,F,3.4,34,321.094,462.544,93,91,97,93.66666667,6/12/2020
20200914-2-42,September,9/14/2020,Fort Johnson,42,F,6.5,65,378.037,582.039,122,121,124,122.3333333,5/14/2020
20201013-1-2,October,10/13/2020,Anchorage,2,F,3.3,33,348.745,523.179,97,,,,
20201013-1-3,October,10/13/2020,Anchorage,3,F,4.7,47,350.976,542.866,114,,,,
20201013-1-4,October,10/13/2020,Anchorage,4,F,3.7,37,337.241,515.07,,,,,
20201013-1-5,October,10/13/2020,Anchorage,5,F,6.7,67,404.442,602.822,,,,,
20201013-1-6,October,10/13/2020,Anchorage,6,F,4.1,41,361.316,NA,,,,,
20201013-1-7,October,10/13/2020,Anchorage,7,M,3.8,38,358.005,520.19,,,,,
20201013-1-8,October,10/13/2020,Anchorage,8,M,3.7,37,353.583,530.32,,,,,
20201013-1-9,October,10/13/2020,Anchorage,9,F,7.4,74,384.89,645.507,,,,,
20201013-1-10,October,10/13/2020,Anchorage,10,F,5.6,56,395.402,558.926,,,,,
20201013-1-11,October,10/13/2020,Anchorage,11,M,4.4,44,360.812,554.688,,,,,
20201013-1-12,October,10/13/2020,Anchorage,12,F,4.4,44,348.394,540.581,,,,,
20201013-1-13,October,10/13/2020,Anchorage,13,I,3.5,35,347.329,497.261,,,,,
20201013-1-14,October,10/13/2020,Anchorage,14,M,3.7,37,359.374,539.936,,,,,
20201013-1-15,October,10/13/2020,Anchorage,15,F,5.7,57,354.52,572.278,,,,,
20201013-1-16,October,10/13/2020,Anchorage,16,I,3.2,32,318.247,500.98,,,,,
20201013-1-17,October,10/13/2020,Anchorage,17,I,3.1,31,310.903,496.353,,,,,
20201013-1-18,October,10/13/2020,Anchorage,18,M,3.7,37,352.943,529.732,,,,,
20201013-1-19,October,10/13/2020,Anchorage,19,M,4.2,42,377.171,550.142,,,,,
20201013-1-20,October,10/13/2020,Anchorage,20,F,5.6,56,368.456,617.192,,,,,
20201013-1-21,October,10/13/2020,Anchorage,21,M,3.8,38,345.058,545.843,,,,,
20201013-1-22,October,10/13/2020,Anchorage,22,M,3.5,35,337.7,521.69,,,,,
20201013-1-23,October,10/13/2020,Anchorage,23,I,3.0,30,317.529,464.233,,,,,
20201013-1-24,October,10/13/2020,Anchorage,24,M,3.6,36,326.272,513.695,,,,,
20201013-1-25,October,10/13/2020,Anchorage,25,M,4.0,40,366.48,533.434,,,,,
20201013-1-26,October,10/13/2020,Anchorage,26,M,3.9,39,351.943,535.277,,,,,
20201013-1-27,October,10/13/2020,Anchorage,27,I,3.2,32,337.365,513.87,,,,,
20201013-1-28,October,10/13/2020,Anchorage,28,M,3.8,38,357.093,533.436,,,,,
20201013-1-29,October,10/13/2020,Anchorage,29,I,3.0,30,331.478,488.688,,,,,
20201013-1-30,October,10/13/2020,Anchorage,30,I,3.4,34,347.439,497.807,,,,,
20201013-2-1,October,10/13/2020,Fort Johnson,1,F,6.2,62,396.878,584.782,129,,,,
20201013-2-2,October,10/13/2020,Fort Johnson,2,F,5.6,56,386.492,NA,120,,,,
20201013-2-3,October,10/13/2020,Fort Johnson,3,F,3.8,38,372.155,535.432,,,,,
20201013-2-4,October,10/13/2020,Fort Johnson,4,F,4.5,45,384.044,554.94,,,,,
20201013-2-5,October,10/13/2020,Fort Johnson,5,I,2.1,21,284.67,415.479,,,,,
20201013-2-6,October,10/13/2020,Fort Johnson,6,I,2.4,24,296.248,457.936,,,,,
20201013-3-1,October,10/13/2020,Lower Ashley,1,F,3.6,36,337.939,462.822,,,,,
20201116-1-1,November,11/16/2020,Anchorage ,1,F,4.2,42,377.477,565.165,114,107,109,110,7/29/2020
20201116-1-2,November,11/16/2020,Anchorage ,2,F,3.6,36,345.981,542.948,92,89,89,90,8/18/2020
20201116-1-3,November,11/16/2020,Anchorage ,3,F,3.6,36,357.069,551.234,97,92,94,94.33333333,8/13/2020
20201116-1-4,November,11/16/2020,Anchorage ,4,F,4.7,47,364.927,627.778,121,115,109,115,7/24/2020
20201116-1-5,November,11/16/2020,Anchorage ,5,F,5,50,373.141,602.939,117,114,120,117,7/22/2020
20201116-1-6,November,11/16/2020,Anchorage ,6,I,2.8,28,321.153,465.045,80,83,70,77.66666667,8/30/2020
20201116-2-1,November,11/16/2020,Fort Johnson,1,M,5.4,54,366.036,576.869,126,123,116,121.6666667,7/17/2020
20201116-2-2,November,11/16/2020,Fort Johnson,2,M,5,50,397.502,570.734,118,104,118,113.3333333,7/25/2020
20201116-2-3,November,11/16/2020,Fort Johnson,3,F,3.7,37,361.18,549.614,112,101,106,106.3333333,8/1/2020
20201116-2-4,November,11/16/2020,Fort Johnson,4,M,3.6,36,376.984,520.507,107,98,97,100.6666667,8/7/2020
20201211-1-1,December,12/11/2020,Anchorage,1,I,3.3,33,319.253,480.292,100,89,93,94,9/8/2020
20201211-1-2,December,12/11/2020,Anchorage,2,I,2.4,24,277.95,446.943,83,85,88,85.33333333,9/16/2020
